

00400020 / 20021000; 		ADDI $v0 $zero 0x1000			r2 r0		r2 <- 0x1000 
00400024 / 00421400;		SLL $v0 $v0 0x0010				r2 r2		r2 <- r2 << 16
00400028 / 20440024;		ADDI $a0 $v0 0x0024				r4 r2 		r4 <- 10000024  
0040002c / 20450028;  		ADDI $a1 $v0 0x0028				r5 r2 		r5 <- 10000028
00400030 / 8c470000; 		LW $a3 0x0000 $v0				r7 r2 		r7 <- 0x9 
00400034 / 20430004;  		ADDI $v1 $v0 0x0004				r3 r2 		r3 <- 10000004
00400038 / 8c610000; 		LW $at 0x0000 $v1				r1 r3 		r1 <- 10000004 
0040003c / 00e1302a;  		SLT $a2 $a3 $at					r6 r7 r1	r7 < r1? r6 <- 1 : r6 <- 0
00400040 / 1cc00003; 		BGTZ $a2 0x0003					r6 			r6 > 0? jmp 00400050
00400044 / ac410000; 		SW $at 0x0000 $v0				r1 r2 		
00400048 / ac670000; 		SW $a3 0x0000 $v1				r7 r3 		
0040004c / 00203820;  		ADD $a3 $at $zero				r7 r1 		
00400050 / 20630004;  		ADDI $v1 $v1 0x0004				r3 r3 		r3 <- 10000008
00400054 / 1465fff8; 		BNE $v1 $a1 0xFFF8				r3 r5 		
00400058 / 20420004;		ADDI $v0 $v0 0x0004				r2 r2 		
0040005c / 1444fff4;		BNE $v0 $a0 0xFFF4				r2 r4 		
															# selection sort O(n^2) 

10000000 / 00000009; #00000001
10000004 / 0000000a; #00000002
10000008 / 00000008; #00000003
1000000c / 00000007; #00000004
10000010 / 00000005; #00000005
10000014 / 00000006; #00000006
10000018 / 00000004; #00000007
1000001c / 00000001; #00000008
10000020 / 00000002; #00000009
10000024 / 00000003; #0000000a
